entry_date,exit_date,entry_price,exit_price,return_pct,holding_days,symbol,return_pct_net
2017-12-06,2018-05-18,1920.9490966796875,1813.72216796875,-0.05581976581070085,163,ALKEM,-0.058419765810700845
2018-09-21,2018-11-06,1924.05712890625,1736.697998046875,-0.09737711424706044,46,ALKEM,-0.09997711424706045
2019-09-24,2021-04-22,1809.9898681640625,2653.88916015625,0.46624531265922764,576,ALKEM,0.46364531265922765
2021-06-01,2022-02-25,2942.677978515625,3161.656494140625,0.07441470566054235,269,ALKEM,0.07181470566054235
2023-02-27,2025-01-22,3178.4482421875,5052.822265625,0.5897135585091364,695,ALKEM,0.5871135585091364
2025-09-09,2026-05-01,5283.87109375,5390.3525390625,0.020152165604200873,234,ALKEM,0.01755216560420087
2017-06-07,2017-07-26,35.98794174194336,36.156063079833984,0.0046716019242268115,49,ALLCARGO,0.0020716019242268116
2017-11-21,2017-11-23,36.433597564697266,36.04023361206055,-0.010796736499550982,2,ALLCARGO,-0.013396736499550982
2017-12-11,2018-04-03,37.67746353149414,32.29800033569336,-0.14277668111347655,113,ALLCARGO,-0.14537668111347654
2019-04-01,2019-07-30,25.761037826538086,20.86587905883789,-0.1900217996131111,120,ALLCARGO,-0.1926217996131111
2020-02-07,2020-04-01,24.94517707824707,13.89615249633789,-0.4429322969827404,54,ALLCARGO,-0.4455322969827404
2020-08-11,2022-06-24,24.309499740600586,65.26254272460938,1.6846518201117457,682,ALLCARGO,1.6820518201117458
2022-09-27,2023-04-12,93.30064392089844,85.45003509521484,-0.08414313659334921,197,ALLCARGO,-0.08674313659334922
2024-01-12,2024-05-21,79.40859985351562,68.67901611328125,-0.1351186617070084,130,ALLCARGO,-0.1377186617070084
2017-05-10,2018-03-06,226.0048065185547,210.71923828125,-0.06763381926591797,300,AMBUJACEM,-0.07023381926591797
2019-03-19,2019-08-06,204.42227172851562,179.51983642578125,-0.12181860172166671,140,AMBUJACEM,-0.12441860172166672
2020-03-05,2020-03-16,181.7877197265625,159.59791564941406,-0.12206437327298794,11,AMBUJACEM,-0.12466437327298795
2020-07-24,2022-02-04,180.29031372070312,366.045166015625,1.0303096625739092,560,AMBUJACEM,1.0277096625739093
2022-06-22,2023-02-27,351.7696838378906,324.2040100097656,-0.07836284675636901,250,AMBUJACEM,-0.08096284675636901
2023-09-05,2024-10-24,435.1205749511719,554.1187133789062,0.27348313382121275,415,AMBUJACEM,0.27088313382121276
2025-06-16,2025-12-15,547.4402465820312,550.7239990234375,0.00599837600890419,182,AMBUJACEM,0.0033983760089041897
2017-06-22,2017-09-01,1249.7178955078125,1057.8489990234375,-0.1535297663369145,71,APOLLOHOSP,-0.1561297663369145
2018-02-01,2018-03-22,1188.5040283203125,997.0928955078125,-0.16105215317024824,49,APOLLOHOSP,-0.16365215317024823
2018-10-11,2020-05-05,1098.46044921875,1328.04150390625,0.2090025679584397,572,APOLLOHOSP,0.2064025679584397
2020-08-10,2022-05-02,1759.2412109375,4251.7841796875,1.416828433334462,630,APOLLOHOSP,1.4142284333344621
2022-10-10,2023-04-26,4298.92431640625,4373.95361328125,0.01745303972639413,198,APOLLOHOSP,0.014853039726394129
2023-05-30,2025-03-07,4561.14501953125,6199.9228515625,0.3592908852960934,647,APOLLOHOSP,0.3566908852960934
2025-06-03,2026-01-09,6794.7705078125,7246.87890625,0.06653769953196716,220,APOLLOHOSP,0.06393769953196715
2016-08-18,2018-09-04,154.04544067382812,214.3561248779297,0.3915122962438198,747,APOLLOTYRE,0.3889122962438198
2020-10-01,2021-12-22,122.92538452148438,195.35105895996094,0.5891840381090556,447,APOLLOTYRE,0.5865840381090556
2022-08-18,2025-01-28,254.6810760498047,413.99560546875,0.6255452187102831,894,APOLLOTYRE,0.6229452187102831
2025-09-05,2026-03-19,476.7337646484375,417.06488037109375,-0.12516185909623156,195,APOLLOTYRE,-0.12776185909623156
2017-03-08,2018-07-31,37.75351333618164,48.33819580078125,0.28036284650773474,510,ASHOKLEY,0.27776284650773475
2019-12-26,2020-03-25,35.430912017822266,15.483553886413574,-0.5629930756898066,90,ASHOKLEY,-0.5655930756898067
2020-09-23,2022-03-07,33.07952117919922,44.78376388549805,0.35382140638899545,530,ASHOKLEY,0.35122140638899546
2022-06-09,2023-03-02,62.28623580932617,66.02225494384766,0.059981456351903786,266,ASHOKLEY,0.05738145635190379
2023-03-08,2023-03-13,66.38614654541016,64.08912658691406,-0.034600893078269905,5,ASHOKLEY,-0.0372008930782699
2023-06-21,2024-03-15,74.55081176757812,74.795166015625,0.00327768728808321,268,ASHOKLEY,0.0006776872880832102
2024-05-08,2025-01-22,94.30767059326172,99.23114013671875,0.052206459055609555,259,ASHOKLEY,0.04960645905560956
2025-06-04,2026-06-04,115.05369567871094,144.44000244140625,0.25541384472131157,365,ASHOKLEY,0.2528138447213116
2016-10-18,2016-12-16,108.83663177490234,103.72925567626953,-0.046926995216058955,59,ASHOKA,-0.04952699521605895
2017-01-24,2018-07-25,113.68040466308594,148.35000610351562,0.30497429652172525,547,ASHOKA,0.30237429652172526
2019-05-09,2019-08-27,115.30000305175781,102.4000015258789,-0.11188205710704219,110,ASHOKA,-0.11448205710704219
2020-11-20,2022-01-20,74.05000305175781,99.69999694824219,0.346387479262575,426,ASHOKA,0.343787479262575
2023-01-09,2023-03-29,88.5999984741211,74.8499984741211,-0.1551918762618963,79,ASHOKA,-0.15779187626189628
2023-05-11,2025-03-11,85.0,178.1199951171875,1.095529354319853,670,ASHOKA,1.092929354319853
2017-04-24,2018-02-05,985.6239013671875,1054.0782470703125,0.06945280609385587,287,ASIANPAINT,0.06685280609385587
2018-05-15,2020-05-13,1221.8892822265625,1479.90380859375,0.21116031552140785,729,ASIANPAINT,0.20856031552140786
2020-08-24,2022-03-24,1859.1209716796875,2888.4892578125,0.5536854792202112,577,ASIANPAINT,0.5510854792202111
2022-08-30,2023-01-04,3256.831787109375,2901.153564453125,-0.10920988430045225,127,ASIANPAINT,-0.11180988430045226
2023-06-19,2024-02-14,3203.967529296875,2886.3447265625,-0.09913421401123836,240,ASIANPAINT,-0.10173421401123836
2024-08-26,2024-11-28,3105.15283203125,2410.866943359375,-0.2235915351766131,94,ASIANPAINT,-0.22619153517661308
2025-08-12,2026-03-13,2453.15478515625,2177.904541015625,-0.11220255884631974,213,ASIANPAINT,-0.11480255884631975
2019-12-11,2020-04-16,112.64518737792969,78.50799560546875,-0.30305060133575984,127,ASTERDM,-0.30565060133575983
2020-09-16,2021-04-19,100.56121063232422,111.13468170166016,0.10514462786247741,215,ASTERDM,0.10254462786247741
2021-06-16,2022-03-03,117.62982177734375,126.12635803222656,0.07223114110438361,260,ASTERDM,0.0696311411043836
2022-07-22,2023-03-08,167.09854125976562,174.4244384765625,0.04384177839953904,229,ASTERDM,0.04124177839953904
2023-04-17,2026-02-04,188.81192016601562,537.9934692382812,1.8493617816356227,1024,ASTERDM,1.8467617816356228
2017-06-07,2017-06-28,910.23046875,892.4403686523438,-0.019544610632609358,21,ASTRAZEN,-0.022144610632609356
2017-11-02,2018-04-06,1062.1558837890625,951.8873901367188,-0.1038157348985155,155,ASTRAZEN,-0.10641573489851551
2018-06-01,2021-03-10,1174.2869873046875,3350.99072265625,1.8536386410511947,1013,ASTRAZEN,1.8510386410511948
2022-07-28,2023-05-19,3020.13818359375,3152.176025390625,0.04371913924804571,295,ASTRAZEN,0.041119139248045715
2023-06-14,2026-01-22,3596.24169921875,8309.876953125,1.3107114727383988,953,ASTRAZEN,1.308111472738399
2017-03-24,2018-11-29,251.0415496826172,474.64361572265625,0.8906974416096902,615,ASTRAL,0.8880974416096902
2018-12-20,2020-04-13,481.6960144042969,512.6314086914062,0.06422181907684354,480,ASTRAL,0.06162181907684355
2020-09-08,2022-03-16,704.826416015625,1516.846435546875,1.1520851107164642,554,ASTRAL,1.1494851107164643
2022-09-16,2023-03-14,1741.1527099609375,1380.854248046875,-0.20693099453760477,179,ASTRAL,-0.20953099453760476
2023-06-07,2024-02-21,1910.3707275390625,1921.302734375,0.005722453070677072,259,ASTRAL,0.0031224530706770717
2024-03-04,2024-09-23,2087.109375,1965.376708984375,-0.058325963877971176,203,ASTRAL,-0.060925963877971175
2025-10-28,2026-01-28,1448.81298828125,1452.9000244140625,0.002820954923699998,92,ASTRAL,0.0002209549236999982
2026-02-12,2026-07-10,1591.5999755859375,1333.800048828125,-0.1619753271627848,148,ASTRAL,-0.16457532716278478
2017-11-09,2022-01-06,2404.226806640625,8986.40234375,2.7377514962103384,1519,ATUL,2.7351514962103383
2022-01-17,2022-05-27,10463.9873046875,8012.07568359375,-0.2343190554135496,130,ATUL,-0.2369190554135496
2022-09-19,2022-11-01,9104.74609375,8235.2890625,-0.09549492344952303,43,ATUL,-0.09809492344952303
2023-10-10,2023-11-15,6804.599609375,6603.75927734375,-0.029515378355920212,36,ATUL,-0.03211537835592021
2024-07-29,2025-01-29,7804.056640625,6211.70703125,-0.20404126759995866,184,ATUL,-0.20664126759995866
